host_time,live_velocity,max_accel,cpu_load,ram_load,cpu_temp,cpu_freq
9026.657678,0.0,10000.0,0.0,27.2,43.827,648.0
9026.897625,0.0,10000.0,8.4,27.2,43.343,480.0
9027.149931,0.0,10000.0,41.4,27.3,42.738,1296.0
9027.403437,0.0,10000.0,50.0,27.1,45.16,1296.0
9027.649951,0.0,10000.0,49.5,27.2,46.007,1296.0
9027.899412,0.0,10000.0,51.0,27.0,45.644,1296.0
9028.150432,0.0,10000.0,54.2,26.6,46.976,1296.0
9028.405074,0.0,10000.0,53.6,26.8,48.066,1296.0
9028.653006,0.0,10000.0,51.1,26.9,47.339,1296.0
9028.910255,0.0,10000.0,60.2,27.4,47.945,1296.0
9029.153508,0.0,10000.0,56.1,26.8,48.429,1296.0
9029.406549,0.0,10000.0,52.1,26.9,48.671,1296.0
9029.657962,0.0,10000.0,54.6,27.0,48.308,1296.0
9029.945348,0.0,10000.0,61.5,27.0,48.066,1296.0
9030.157500,0.0,10000.0,53.2,27.1,47.824,1296.0
9030.413790,0.0,10000.0,53.0,27.1,48.429,1296.0
9030.659355,0.0,10000.0,52.2,26.5,48.55,1296.0
9030.912517,0.0,10000.0,52.1,26.6,48.55,1296.0
9031.157569,0.0,10000.0,51.6,26.7,49.398,1296.0
9031.409740,0.0,10000.0,51.5,26.9,48.671,1296.0
9031.662425,0.0,10000.0,52.6,27.0,48.793,1296.0
9031.910990,0.0,10000.0,53.2,26.4,49.035,1296.0
9032.162375,0.0,10000.0,50.5,26.6,49.156,1296.0
9032.416792,0.0,10000.0,49.5,26.7,47.582,1296.0
9032.663037,0.0,10000.0,51.6,26.9,46.976,1296.0
9032.914813,0.0,10000.0,52.1,27.0,46.371,1296.0
9033.165813,0.0,10000.0,50.5,26.8,49.277,1296.0
9033.418488,0.0,10000.0,54.6,27.3,50.125,1296.0
9033.676156,0.0,10000.0,79.2,28.5,47.824,1296.0
9034.249506,0.0,10000.0,84.5,29.2,51.093,1296.0
9034.662978,0.0,10000.0,83.3,29.9,52.183,1296.0
9035.240535,0.0,10000.0,64.8,30.2,51.699,1296.0
9035.543910,6.158657815831248,10000.0,57.1,31.0,51.457,1296.0
9036.153584,22.360679774997898,10000.0,51.8,30.9,50.609,1296.0
9036.404422,16.890403164857908,10000.0,32.7,31.1,49.156,1296.0
9036.652300,5.026224898756482,10000.0,34.3,31.1,49.277,1296.0
9036.902720,22.360679774997898,10000.0,35.0,32.4,49.398,1296.0
9037.153328,16.080197199322193,10000.0,33.7,32.4,49.277,1296.0
9037.403659,8.0676808647695,10000.0,35.4,32.4,49.398,1296.0
9037.654165,22.360679774997898,10000.0,33.3,31.7,49.156,1296.0
9037.904758,15.765407877175512,10000.0,33.7,32.5,49.035,1296.0
9038.154971,8.910109063435812,10000.0,33.7,32.4,48.914,1296.0
9038.405829,22.360679774997898,10000.0,36.0,31.7,49.156,1296.0
9038.656614,0.9411869723408017,10000.0,35.3,31.7,48.187,1296.0
9038.911733,22.360679774997898,10000.0,39.6,31.7,48.187,1296.0
9039.158964,8.103429552271173,10000.0,34.0,31.5,48.793,1296.0
9039.410249,17.211531830980675,10000.0,34.3,31.3,48.429,1296.0
9039.660780,22.360679774997898,10000.0,35.3,31.9,48.187,1296.0
9039.910802,6.353362475770901,10000.0,33.3,31.8,48.671,1296.0
9040.162253,16.89201559202047,10000.0,33.3,31.3,48.671,1296.0
9040.411792,22.360679774997898,10000.0,36.0,31.1,48.429,1296.0
9040.662084,6.074128721216603,10000.0,34.0,31.1,48.55,1296.0
9040.913986,15.852082669880474,10000.0,33.7,31.0,48.55,1296.0
9041.162523,22.360679774997898,10000.0,34.7,31.5,48.429,1296.0
9041.413472,2.906077261286555,10000.0,35.0,31.3,47.945,1296.0
9041.664844,22.360679774997898,10000.0,34.0,30.8,48.914,1296.0
9041.916775,18.57645594790103,10000.0,35.4,30.8,48.308,1296.0
9042.165309,8.249894344771747,10000.0,34.3,30.1,49.035,1296.0
9042.415980,22.360679774997898,10000.0,33.7,30.1,49.398,1296.0
9042.666781,11.454583307191406,10000.0,33.3,30.1,48.429,1296.0
9042.917994,16.1660725279944,10000.0,35.6,30.1,48.793,1296.0
9043.168617,22.360679774997898,10000.0,34.3,30.3,48.308,1296.0
9043.418789,3.8874282290635165,10000.0,34.0,30.3,49.035,1296.0
9043.670259,22.360679774997898,10000.0,34.7,30.3,48.671,1296.0
9043.920972,12.368299428622613,10000.0,35.6,30.3,48.429,1296.0
9044.171381,10.281523082085187,10000.0,34.7,30.8,48.55,1296.0
9044.421826,22.360679774997898,10000.0,34.0,30.2,48.55,1296.0
9044.673256,2.6278156634232985,10000.0,35.6,30.2,48.308,1296.0
9044.923727,22.360679774997898,10000.0,35.0,30.6,49.156,1296.0
9045.174570,15.483126642344196,10000.0,36.3,30.5,48.793,1296.0
9045.426665,6.330168071144726,10000.0,41.4,29.3,49.64,1296.0
9045.675950,22.360679774997898,10000.0,35.0,29.4,47.46,1296.0
9045.926906,6.059170680224106,10000.0,34.3,29.4,48.793,1296.0
9046.177804,21.934401829639683,10000.0,35.0,29.8,49.035,1296.0
9046.428776,18.883092759629854,10000.0,33.0,29.9,49.519,1296.0
9046.679382,3.3374241866113152,10000.0,32.3,29.3,48.55,1296.0
9046.929618,22.360679774997898,10000.0,35.0,29.4,48.429,1296.0
