host_time,live_velocity,max_accel,cpu_load,ram_load,cpu_temp,cpu_freq
8951.844435,0.0,10000.0,0.0,27.8,48.308,480.0
8951.993874,0.0,10000.0,10.2,27.8,48.308,480.0
8952.246516,0.0,10000.0,15.2,30.1,47.46,1296.0
8952.505798,0.0,10000.0,37.0,41.3,48.066,1296.0
8952.756172,0.0,10000.0,35.1,51.7,48.671,1296.0
8953.008142,0.0,10000.0,32.7,62.1,49.761,1296.0
8953.258651,0.0,10000.0,33.0,73.2,49.761,1296.0
8953.498751,0.0,10000.0,23.7,77.4,50.851,480.0
8953.749208,0.0,10000.0,6.1,77.4,49.398,648.0
8954.003607,0.0,10000.0,5.9,77.4,47.582,480.0
8954.250403,0.0,10000.0,4.1,77.3,47.097,480.0
8954.503134,0.0,10000.0,3.0,77.3,46.613,480.0
8954.751525,0.0,10000.0,6.1,77.3,47.339,960.0
8955.005270,0.0,10000.0,4.0,77.3,46.613,480.0
8955.252583,0.0,10000.0,4.1,77.2,46.371,648.0
8955.506087,0.0,10000.0,4.0,77.2,45.886,480.0
8955.755417,0.0,10000.0,4.1,77.2,45.886,480.0
8956.009042,0.0,10000.0,6.8,77.2,46.371,648.0
8956.255261,0.0,10000.0,3.1,77.2,45.765,480.0
8956.510723,0.0,10000.0,4.9,77.2,45.644,480.0
8956.756830,0.0,10000.0,6.2,77.2,45.523,648.0
8957.009710,0.0,10000.0,4.0,77.2,45.402,480.0
8957.261266,0.0,10000.0,4.0,77.1,45.402,648.0
8957.511727,0.0,10000.0,4.0,77.1,45.402,480.0
8957.762904,0.0,10000.0,5.1,77.1,45.402,480.0
8958.016434,0.0,10000.0,4.0,77.1,45.765,480.0
8958.264728,0.0,10000.0,2.1,77.0,44.554,480.0
8958.516535,0.0,10000.0,5.0,77.0,46.007,648.0
8958.765724,0.0,10000.0,11.1,77.5,45.16,480.0
8959.019556,0.0,10000.0,5.0,77.5,45.16,480.0
8959.266895,0.0,10000.0,4.1,77.5,44.796,816.0
8959.520406,0.0,10000.0,4.0,77.5,44.554,480.0
8959.767028,0.0,10000.0,6.2,77.5,44.675,480.0
8960.020820,0.0,10000.0,4.0,77.5,46.007,480.0
8960.269810,0.0,10000.0,5.1,77.4,44.554,816.0
8960.520518,0.0,10000.0,2.0,77.4,44.433,648.0
8960.768875,0.0,10000.0,5.2,77.4,45.281,480.0
8961.022228,0.0,10000.0,5.0,77.4,44.433,480.0
8961.271341,0.0,10000.0,3.1,77.3,44.675,816.0
8961.522410,0.0,10000.0,4.0,77.3,44.917,480.0
8961.771557,0.0,10000.0,6.1,77.3,44.191,480.0
8962.026536,0.0,10000.0,4.0,77.3,44.191,480.0
8962.274949,0.0,10000.0,4.1,77.2,44.191,480.0
8962.526283,0.0,10000.0,3.0,77.2,44.433,480.0
8962.779229,0.0,10000.0,6.1,77.2,44.07,480.0
8963.028541,0.0,10000.0,5.1,77.1,44.917,480.0
8963.280991,0.0,10000.0,5.0,77.1,44.312,648.0
8963.530481,0.0,10000.0,4.0,77.1,44.675,480.0
8963.782403,0.0,10000.0,6.0,77.1,43.706,480.0
8964.032909,0.0,10000.0,5.1,77.0,43.706,480.0
8964.282338,0.0,10000.0,4.1,76.9,43.949,480.0
8964.533188,0.0,10000.0,3.0,76.9,43.585,480.0
8964.783838,0.0,10000.0,7.9,76.9,43.827,480.0
8965.035919,0.0,10000.0,3.1,76.8,44.191,480.0
8965.282959,0.0,10000.0,4.1,76.7,43.101,480.0
8965.536765,0.0,10000.0,4.0,76.7,44.191,648.0
8965.783926,0.0,10000.0,5.2,76.7,44.191,480.0
8966.038841,0.0,10000.0,4.9,76.6,43.343,480.0
8966.286999,0.0,10000.0,3.1,76.6,43.706,480.0
8966.537852,0.0,10000.0,4.0,76.6,44.433,648.0
8966.785339,0.0,10000.0,5.2,76.6,43.949,648.0
8967.041692,0.0,10000.0,5.8,76.5,44.796,480.0
8967.293132,0.0,10000.0,5.1,76.5,44.433,480.0
8967.543015,0.0,10000.0,3.1,76.5,44.433,480.0
8967.792756,0.0,10000.0,6.1,76.5,44.07,648.0
8968.044395,0.0,10000.0,4.0,76.5,44.312,480.0
8968.291466,0.0,10000.0,3.1,76.5,43.343,480.0
8968.545771,0.0,10000.0,4.9,76.5,43.706,480.0
8968.796546,0.0,10000.0,10.1,76.3,43.949,480.0
8969.047518,0.0,10000.0,5.0,76.3,44.312,480.0
8969.297958,0.0,10000.0,4.1,76.3,43.706,480.0
8969.549429,0.0,10000.0,4.0,76.3,43.949,648.0
8969.798798,0.0,10000.0,7.0,76.3,43.101,480.0
8970.051810,0.0,10000.0,5.0,76.3,44.07,480.0
8970.301553,0.0,10000.0,3.1,76.3,44.07,480.0
8970.552285,0.0,10000.0,4.0,76.3,43.949,648.0
8970.802868,0.0,10000.0,5.1,76.3,43.464,480.0
8971.055062,0.0,10000.0,3.0,76.3,43.585,480.0
8971.302700,0.0,10000.0,4.1,76.3,43.343,480.0
8971.557900,0.0,10000.0,4.0,76.3,43.343,648.0
8971.802734,0.0,10000.0,5.2,76.3,43.101,480.0
8972.057948,0.0,10000.0,4.0,76.3,43.827,480.0
8972.310605,0.0,10000.0,4.0,76.3,42.859,480.0
8972.557809,0.0,10000.0,4.0,76.3,42.859,480.0
8972.809765,0.0,10000.0,6.0,76.3,43.585,648.0
8973.060425,0.0,10000.0
