host_time,live_velocity,max_accel,cpu_load,ram_load,cpu_temp,cpu_freq
9403.140434,0.0,10000.0,50.0,28.4,44.191,1296.0
9403.441456,0.0,10000.0,3.4,28.4,43.222,1296.0
9403.693701,0.0,10000.0,41.4,28.6,42.98,1296.0
9403.947475,0.0,10000.0,50.5,28.6,45.402,1296.0
9404.196719,0.0,10000.0,50.0,28.3,46.007,1296.0
9404.447390,0.0,10000.0,47.3,28.3,46.249,1296.0
9404.697838,0.0,10000.0,52.1,28.0,46.128,1296.0
9404.949206,0.0,10000.0,51.0,27.9,46.371,1296.0
9405.203159,0.0,10000.0,51.1,27.2,46.371,1296.0
9405.449963,0.0,10000.0,52.7,27.1,47.582,1296.0
9405.699081,0.0,10000.0,52.6,27.1,47.582,1296.0
9405.952788,0.0,10000.0,52.0,27.1,46.976,1296.0
9406.201815,0.0,10000.0,51.6,27.1,47.097,1296.0
9406.451999,0.0,10000.0,51.1,27.2,47.46,1296.0
9406.702099,0.0,10000.0,53.6,26.7,47.218,1296.0
9406.953861,0.0,10000.0,52.6,26.7,46.855,1296.0
9407.206876,0.0,10000.0,54.6,26.8,47.46,1296.0
9407.455539,0.0,10000.0,53.1,26.9,47.582,1296.0
9407.709780,0.0,10000.0,53.5,27.0,47.945,1296.0
9407.958884,0.0,10000.0,51.6,27.2,47.097,1296.0
9408.210693,0.0,10000.0,53.7,26.8,48.55,1296.0
9408.460133,0.0,10000.0,53.3,26.9,48.55,1296.0
9408.710495,0.0,10000.0,55.1,27.1,49.277,1296.0
9408.959362,0.0,10000.0,55.3,27.2,48.308,1296.0
9409.218171,0.0,10000.0,63.7,27.7,47.824,1296.0
9409.461938,0.0,10000.0,56.0,27.8,48.066,1296.0
9409.716517,0.0,10000.0,51.1,27.9,48.308,1296.0
9409.963300,0.0,10000.0,57.7,28.0,49.035,1296.0
9410.454552,0.0,10000.0,83.3,29.2,50.125,1296.0
9410.958822,0.0,10000.0,80.9,30.2,50.73,1296.0
9411.462812,0.0,10000.0,78.1,30.4,51.215,1296.0
9411.775453,0.0,10000.0,58.5,30.0,50.609,1296.0
9412.095320,0.0,0.0,59.2,30.4,50.488,1296.0
9412.702883,9.270658538298449,10000.0,49.4,32.1,49.156,1296.0
9412.974021,22.360679774997898,10000.0,33.6,32.2,49.277,1296.0
9413.222866,6.753957984606878,10000.0,35.4,32.1,49.035,1296.0
9413.472748,12.183225626358762,10000.0,32.7,32.3,48.187,1296.0
9413.722314,22.360679774997898,10000.0,33.3,32.5,48.429,1296.0
9414.170126,21.520514947042102,10000.0,41.1,30.9,47.218,1296.0
9414.474430,15.734340775075744,10000.0,32.2,30.7,48.55,1296.0
9414.726349,8.128815079544438,10000.0,35.0,31.4,47.945,1296.0
9414.976917,22.360679774997898,10000.0,34.3,31.5,48.187,1296.0
9415.226917,11.60385701731304,10000.0,34.7,31.2,47.824,1296.0
9415.477796,12.293465497350553,10000.0,33.7,30.9,49.156,1296.0
9415.727703,22.360679774997898,10000.0,35.0,30.9,48.308,1296.0
9415.979290,3.9845434002927504,10000.0,33.7,30.9,48.187,1296.0
9416.230086,22.360679774997898,10000.0,35.0,30.8,48.308,1296.0
