host_time,live_velocity,max_accel,cpu_load,ram_load,cpu_temp,cpu_freq
5748.900110,0.0,10000.0,100.0,27.7,48.55,1296.0
5749.113290,0.0,10000.0,3.6,27.6,47.582,1296.0
5749.376181,0.0,10000.0,20.2,33.1,46.855,1296.0
5749.627811,0.0,10000.0,31.6,43.6,47.582,1296.0
5749.889778,0.0,10000.0,36.5,54.8,48.671,1296.0
5750.130193,0.0,10000.0,32.6,64.3,48.793,1296.0
5750.380469,0.0,10000.0,32.7,73.5,48.55,1296.0
5750.619360,0.0,10000.0,22.3,74.1,48.066,1296.0
5750.869604,0.0,10000.0,4.0,74.1,47.582,1296.0
5751.120533,0.0,10000.0,2.0,74.1,47.097,1296.0
5751.380846,0.0,10000.0,7.7,74.8,46.492,1296.0
5751.622137,0.0,10000.0,2.1,74.8,46.855,1296.0
5751.872593,0.0,10000.0,2.0,74.8,45.523,1296.0
5752.123222,0.0,10000.0,2.0,74.7,46.007,1296.0
5752.377008,0.0,10000.0,3.0,74.7,46.128,648.0
5752.629970,0.0,10000.0,4.0,74.7,45.038,480.0
5752.881136,0.0,10000.0,7.0,74.7,45.038,648.0
5753.131493,0.0,10000.0,4.0,74.6,44.191,480.0
5753.383321,0.0,10000.0,3.1,74.6,45.038,480.0
5753.634237,0.0,10000.0,5.0,74.6,44.675,480.0
5753.885425,0.0,10000.0,5.1,74.6,43.706,648.0
5754.134568,0.0,10000.0,4.0,74.6,44.554,480.0
5754.386939,0.0,10000.0,4.0,74.6,44.07,480.0
5754.637878,0.0,10000.0,5.1,74.6,44.07,480.0
5754.888368,0.0,10000.0,5.1,74.6,44.07,480.0
5755.139787,0.0,10000.0,4.0,74.5,44.312,480.0
5755.390540,0.0,10000.0,4.0,74.5,44.07,648.0
5755.640916,0.0,10000.0,6.9,74.5,43.706,480.0
5755.923054,0.0,10000.0,11.7,75.0,43.585,648.0
5756.140312,0.0,10000.0,4.7,74.9,43.827,480.0
5756.392912,0.0,10000.0,4.0,74.9,43.222,480.0
5756.643060,0.0,10000.0,4.1,74.9,43.464,480.0
5756.894217,0.0,10000.0,7.9,74.9,42.738,480.0
5757.142476,0.0,10000.0,3.1,74.8,42.738,480.0
5757.395717,0.0,10000.0,4.0,74.8,42.374,480.0
5757.646325,0.0,10000.0,5.9,74.8,43.585,480.0
5757.895037,0.0,10000.0,5.2,74.8,43.343,648.0
5758.146347,0.0,10000.0,3.1,74.7,42.374,480.0
5758.399406,0.0,10000.0,5.8,74.7,43.222,648.0
5758.649654,0.0,10000.0,4.1,74.7,43.343,480.0
5758.898543,0.0,10000.0,6.1,74.7,42.98,648.0
5759.149466,0.0,10000.0,4.0,74.7,43.101,480.0
5759.402508,0.0,10000.0,4.0,74.7,42.738,480.0
5759.651299,0.0,10000.0,5.1,74.7,43.949,648.0
5759.903928,0.0,10000.0,4.1,74.7,42.616,480.0
5760.152133,0.0,10000.0,6.0,74.6,43.222,480.0
5760.405003,0.0,10000.0,3.0,74.6,42.859,480.0
5760.655239,0.0,10000.0,5.9,74.6,42.738,480.0
5760.906574,0.0,10000.0,5.1,74.6,42.616,480.0
5761.154290,0.0,10000.0,5.1,74.5,42.859,648.0
5761.406901,0.0,10000.0,2.0,74.5,42.98,480.0
5761.657193,0.0,10000.0,5.9,74.5,42.859,480.0
5761.907219,0.0,10000.0,6.1,74.5,42.253,648.0
5762.159383,0.0,10000.0,4.0,74.5,42.738,480.0
5762.409457,0.0,10000.0,4.0,74.5,42.859,480.0
5762.659616,0.0,10000.0,5.1,74.5,42.374,480.0
5762.910869,0.0,10000.0,6.0,74.5,42.495,480.0
5763.162583,0.0,10000.0,4.1,74.5,41.89,480.0
5763.412745,0.0,10000.0,4.0,74.5,42.738,480.0
5763.663152,0.0,10000.0,4.1,74.5,42.738,480.0
5763.914441,0.0,10000.0,7.0,74.5,42.374,480.0
5764.165371,0.0,10000.0,5.0,74.5,42.132,480.0
5764.415008,0.0,10000.0,3.1,74.5,42.132,480.0
5764.665512,0.0,10000.0,5.0,74.5,42.738,480.0
5764.916773,0.0,10000.0,6.1,74.5,42.374,648.0
5765.167560,0.0,10000.0,4.0,74.5,42.011,480.0
5765.417703,0.0,10000.0,3.0,74.5,42.132,480.0
5765.667885,0.0,10000.0,5.1,74.5,42.253,480.0
5765.930428,0.0,10000.0,11.7,74.7,42.011,648.0
5766.169777,0.0,10000.0,6.3,74.7,41.527,480.0
5766.420762,0.0,10000.0,4.0,74.7,42.495,480.0
5766.671467,0.0,10000.0,4.0,74.7,42.616,480.0
5766.922079,0.0,10000.0,6.1,74.7,41.648,648.0
5767.170319,0.0,10000.0,4.0,74.6,42.253,480.0
5767.423276,0.0,10000.0,5.0,74.6,41.648,480.0
5767.674303,0.0,10000.0,4.0,74.6,42.374,480.0
5767.924682,0.0,10000.0,5.1,74.7,41.648,648.0
5768.173155,0.0,10000.0,5.1,74.6,41.89,480.0
5768.426552,0.0,10000.0,4.0,74.6,42.253,480.0
5768.674820,0.0,10000.0,4.1,74.6,41.89,648.0
5768.928415,0.0,10000.0,6.0,74.6,42.253,648.0
5769.176863,0.0,10000.0,4.1,74.6,41.527,480.0
5769.430437,0.0,10000.0,4.0,74.6,41.89,480.0
5769.680816,0.0,10000.0,5.1,74.6,41.769,480.0
5769.931336,0.0,10000.0,7.0,74.6,41.163,648.0
5770.179908,0.0,10
