host_time,live_velocity,max_accel,cpu_load,ram_load,cpu_temp,cpu_freq
9181.981605,0.0,10000.0,0.0,27.8,46.734,1296.0
9182.182765,0.0,10000.0,5.1,27.8,46.734,1296.0
9182.433325,0.0,10000.0,2.0,27.8,46.249,1296.0
9182.683707,0.0,10000.0,4.0,27.8,44.675,1296.0
9182.934965,0.0,10000.0,4.0,27.8,45.038,1296.0
9183.185682,0.0,10000.0,3.0,27.7,45.402,1296.0
9183.436445,0.0,10000.0,1.0,27.7,45.281,1296.0
9183.687221,0.0,10000.0,3.0,27.7,45.038,1296.0
9183.938430,0.0,10000.0,4.0,27.7,45.281,1296.0
9184.189373,0.0,10000.0,2.0,27.5,45.038,1296.0
9184.439403,0.0,10000.0,3.0,27.5,45.523,1296.0
9184.690417,0.0,10000.0,1.0,27.5,45.281,1296.0
9184.941523,0.0,10000.0,5.0,27.5,45.16,1296.0
9185.192034,0.0,10000.0,2.0,27.3,44.554,1296.0
9185.442135,0.0,10000.0,3.0,27.3,45.16,1296.0
9185.692256,0.0,10000.0,1.0,27.3,44.191,1296.0
9185.943688,0.0,10000.0,4.0,27.3,44.796,1296.0
9186.194280,0.0,10000.0,2.0,27.2,44.675,1296.0
9186.444544,0.0,10000.0,3.0,27.2,44.191,1296.0
9186.694783,0.0,10000.0,3.0,27.2,44.191,1296.0
9186.945529,0.0,10000.0,5.0,27.2,44.433,1296.0
9187.196337,0.0,10000.0,2.0,27.1,44.554,1296.0
9187.446456,0.0,10000.0,1.0,27.1,44.07,1296.0
9187.696559,0.0,10000.0,4.0,27.1,44.675,1296.0
9187.946811,0.0,10000.0,3.0,27.1,43.827,1296.0
9188.197690,0.0,10000.0,3.0,26.9,44.433,1296.0
9188.447912,0.0,10000.0,3.0,26.9,44.675,1296.0
9188.697859,0.0,10000.0,3.0,26.9,44.07,1296.0
9188.948558,0.0,10000.0,8.0,26.9,44.433,1296.0
9189.199557,0.0,10000.0,3.0,26.9,44.554,1296.0
9189.449740,0.0,10000.0,4.0,26.9,44.312,1296.0
9189.699886,0.0,10000.0,3.0,26.9,44.191,1296.0
9189.951270,0.0,10000.0,5.0,26.9,44.191,1296.0
9190.202027,0.0,10000.0,3.0,26.8,44.312,1296.0
9190.452242,0.0,10000.0,2.0,26.8,44.07,1296.0
9190.703111,0.0,10000.0,3.0,26.8,44.07,1296.0
9190.953692,0.0,10000.0,6.8,26.8,44.433,1296.0
9191.204888,0.0,10000.0,4.0,26.7,43.949,1296.0
9191.455397,0.0,10000.0,3.0,26.7,44.433,1296.0
9191.706052,0.0,10000.0,4.0,26.7,44.312,1296.0
9191.956746,0.0,10000.0,3.1,26.7,43.949,1296.0
9192.207649,0.0,10000.0,4.0,26.7,44.554,1296.0
9192.458233,0.0,10000.0,4.9,26.7,44.796,1296.0
9192.708612,0.0,10000.0,3.0,26.7,43.827,1296.0
9192.959141,0.0,10000.0,4.0,26.7,44.796,1296.0
9193.210152,0.0,10000.0,4.0,26.6,43.949,1296.0
9193.460911,0.0,10000.0,3.0,26.6,44.07,1296.0
9193.711094,0.0,10000.0,4.0,26.6,43.706,1296.0
9193.961872,0.0,10000.0,5.9,26.6,44.675,1296.0
9194.212417,0.0,10000.0,2.0,26.5,43.343,1296.0
9194.463024,0.0,10000.0,3.9,26.5,43.706,1296.0
9194.713402,0.0,10000.0,3.0,26.5,44.07,1296.0
9194.964092,0.0,10000.0,5.9,26.5,44.312,1296.0
9195.214718,0.0,10000.0,3.0,26.5,44.07,1296.0
9195.465526,0.0,10000.0,3.9,26.5,43.464,1296.0
9195.715762,0.0,10000.0,4.9,26.5,43.827,1296.0
9195.967277,0.0,10000.0,3.0,26.5,44.191,1296.0
