host_time,live_velocity,max_accel,cpu_load,ram_load,cpu_temp,cpu_freq
9483.493286,0.0,10000.0,0.0,27.3,45.038,1296.0
9483.702210,0.0,10000.0,4.9,27.3,45.16,1296.0
9483.957266,0.0,10000.0,25.7,27.5,44.917,1296.0
9484.228589,0.0,15000.0,72.4,27.3,44.796,1296.0
9484.471070,232.82710264538764,15000.0,75.0,27.6,47.582,1296.0
9484.713047,4.255605670550722,15000.0,73.9,28.1,47.339,1296.0
9484.962655,237.50331396331603,15000.0,60.2,28.5,50.367,1296.0
9485.218024,478.01706394056964,15000.0,55.9,27.9,49.64,1296.0
9485.461386,500.0,15000.0,33.7,28.3,47.339,1296.0
9485.711197,500.0,15000.0,34.0,28.5,47.582,1296.0
9485.962358,500.0,15000.0,35.4,28.7,47.824,1296.0
9486.213961,500.0,15000.0,34.3,28.1,46.855,1296.0
9486.462811,326.0825195320649,15000.0,33.3,28.5,47.582,1296.0
9486.714280,92.62731122362311,15000.0,35.6,28.5,48.55,1296.0
9486.965166,142.16831374869798,15000.0,33.0,28.5,47.46,1296.0
9487.218037,380.2583137239708,15000.0,34.3,28.5,47.945,1296.0
9487.466869,500.0,15000.0,34.3,28.5,48.429,1296.0
9487.718217,500.0,15000.0,34.0,28.5,47.703,1296.0
9487.968477,500.0,15000.0,35.4,28.5,48.429,1296.0
9488.221024,500.0,15000.0,34.0,28.5,47.582,1296.0
9488.469968,424.4231447682978,15000.0,33.7,28.5,47.703,1296.0
9488.720580,188.83418647419603,15000.0,34.0,28.5,47.46,1296.0
9488.971548,51.96498016448459,15000.0,34.3,27.8,47.218,1296.0
9489.249906,293.2556051455322,15000.0,38.2,28.7,47.218,1296.0
9489.472594,500.0,15000.0,34.8,28.9,47.703,1296.0
9489.723284,500.0,15000.0,33.0,28.5,47.945,1296.0
9489.974538,500.0,15000.0,34.7,28.5,47.703,1296.0
9490.225495,500.0,15000.0,35.0,28.6,47.218,1296.0
9490.476896,500.0,15000.0,33.3,28.8,48.308,1296.0
9490.728065,296.69210336578544,15000.0,32.3,29.0,47.46,1296.0
9490.978749,63.181270052155014,15000.0,33.3,28.3,47.218,1296.0
9491.229577,171.51393824678962,15000.0,33.7,29.1,47.46,1296.0
9491.480476,413.39539654291,15000.0,34.7,29.3,47.945,1296.0
9491.731715,500.0,15000.0,34.0,29.3,47.824,1296.0
9491.982516,500.0,15000.0,34.0,28.6,46.855,1296.0
9492.232923,500.0,15000.0,34.3,28.9,47.46,1296.0
9492.483979,500.0,15000.0,33.3,28.9,47.703,1296.0
9492.738393,405.9677286204533,15000.0,33.0,29.3,47.339,1296.0
9492.985810,173.9091869603726,15000.0,36.4,28.6,47.097,1296.0
9493.236886,61.99018800361955,15000.0,34.0,28.6,47.218,1296.0
9493.487644,307.9481046352157,15000.0,31.6,28.6,48.066,1296.0
9493.738756,500.0,15000.0,34.0,29.4,47.46,1296.0
9493.989161,500.0,15000.0,35.4,29.1,47.824,1296.0
9494.239774,500.0,15000.0,35.3,29.1,47.218,1296.0
9494.490202,500.0,15000.0,33.3,29.9,48.066,1296.0
9494.741367,500.0,15000.0,33.3,29.9,48.066,1296.0
9494.992053,263.163562203772,15000.0,35.4,29.9,47.218,1296.0
9495.243156,25.351687227157527,15000.0,33.3,30.0,48.187,1296.0
9495.493750,209.09831275093893,15000.0,35.6,30.0,47.824,1296.0
9495.745240,450.8843544026604,15000.0,33.3,30.0,48.308,1296.0
9495.995164,500.0,15000.0,34.7,30.0,48.066,1296.0
9496.245784,500.0,15000.0,35.0,29.3,47.582,1296.0
9496.496874,500.0,15000.0,33.3,29.3,47.824,1296.0
9496.747505,500.0,15000.0,35.0,30.1,47.824,1296.0
9497.000262,364.57293744206254,15000.0,35.6,30.1,47.824,1296.0
9497.249965,126.12127081411018,15000.0,34.0,29.4,47.945,1296.0
9497.500463,120.04602085471561,15000.0,32.7,30.2,47.097,1296.0
9497.751064,362.7241458143544,15000.0,34.0,30.2,47.945,1296.0
9498.001531,500.0,15000.0,34.7,30.2,47.582,1296.0
9498.251878,500.0,15000.0,33.7,29.5,47.945,1296.0
9498.502713,500.0,15000.0,33.3,29.5,47.46,1296.0
9498.753907,500.0,15000.0,35.6,29.5,48.066,1296.0
9499.003504,440.4310626523511,15000.0,33.0,29.5,47.945,1296.0
9499.258000,195.07502101987484,15000.0,38.6,29.5,48.066,1296.0
9499.505030,47.336853966044146,15000.0,34.0,28.8,48.066,1296.0
9499.756106,291.1145622492768,15000.0,34.7,29.6,48.066,1296.0
9500.006052,500.0,15000.0,34.7,29.6,47.339,1296.0
9500.257161,500.0,15000.0,35.0,30.4,48.308,1296.0
9500.507452,500.0,15000.0,33.3,29.7,47.46,1296.0
9500.758682,500.0,15000.0,34.0,29.7,47.824,1296.0
9501.009548,500.0,15000.0,33.0,29.7,47.218,1296.0
9501.259580,271.56481291967793,15000.0,34.3,29.7,48.066,1296.0
9501.510299,35.6510629717377,15000.0,33.3,29.1,47.46,1296.0
9501.761589,202.58372868556762,15000.0,34.3,29.4,47.46,1296.0
9502.011669,436.8849786606006,15000.0,34.7,29.4,47.703,1296.0
9502.264119,500.0,15000.0,34.0,29.4,48.429,1296.0
9502.513665,500.0,15000.0,33.3,29.1,46.976,1296.0
9502.764368,500.0,15000.0,35.0,29.9,47.46,1296.0
9503.014544,500.0,15000.0,34.3,29.9,47.218,1296.0
9503.266007,365.2683548079949,15000.0,35.6,29.9,48.187,1296.0
9503.516378,120.54168818394828,15000.0,33.3,29.9,47.703,1296.0
9503.767328,122.10372845220263,15000.0,33.0,29.2,47.824,1296.0
9504.017404,362.4131034284801,15000.0,35.0,29.2,47.703,1296.0
9504.267786,500.0,15000.0,35.0,29.2,48.187,1296.0
9504.518155,500.0,15000.0,34.7,30.0,48.066,1296.0
9504.769216,500.0,15000.0,33.7,29.3,48.066,1296.0
9505.019725,500.0,15000.0,35.0,29.3,48.429,1296.0
9505.270819,437.01564673938265,15000.0,34.3,29.3,47.824,1296.0
9505.521268,201.55460510068224,15000.0,34.0,29.3,47.46,1296.0
9505.773293,33.93476988821931,15000.0,35.6,29.4,48.066,1296.0
9506.023074,274.813311505568,15000.0,35.0,29.4,48.187,1296.0
9506.273710,500.0,15000.0,35.0,29.4,47.824,1296.0
9506.524956,500.0,15000.0,33.7,30.2,48.308,1296.0
9506.777146,500.0,15000.0,34.3,29.5,47.824,1296.0
9507.026824,500.0,15000.0,33.7,30.3,48.066,1296.0
9507.277784,500.0,15000.0,33.7,30.3,48.308,1296.0
9507.529141,314.99398031883175,15000.0,35.3,30.3,47.703,1296.0
9507.780595,71.46460534386279,15000.0,35.0,30.3,48.066,1296.0
9508.030240,160.59893629790167,15000.0,33.3,29.6,48.066,1296.0
9508.281583,398.8153946083912,15000.0,35.0,29.6,46.492,1296.0
9508.532250,500.0,15000.0,32.7,29.6,47.339,1296.0
9508.783121,500.0,15000.0,36.0,29.6,48.308,1296.0
9509.033664,500.0,15000.0,33.3,29.7,48.793,1296.0
9509.287027,500.0,15000.0,39.0,29.7,48.187,1296.0
9509.535093,401.115438899069,15000.0,32.7,30.5,48.308,1296.0
9509.786397,162.44689726590877,15000.0,34.7,30.5,48.187,1296.0
9510.036472,75.08706106636964,15000.0,34.0,29.8,48.066,1296.0
9510.286824,317.1178943448467,15000.0,34.3,29.8,48.066,1296.0
9510.538433,500.0,15000.0,35.3,29.8,48.793,1296.0
9510.788691,500.0,15000.0,35.4,29.8,47.824,1296.0
9511.038516,500.0,15000.0,33.3,29.2,47.097,1296.0
9511.289501,500.0,15000.0,34.0,29.2,48.187,1296.0
9511.540083,481.1668974434724,15000.0,33.3,30.0,48.066,1296.0
9511.791315,245.5060641386808,15000.0,35.4,30.0,48.308,1296.0
